,ObjID,mjd,ra,dec,z,zErr,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,modelFluxIvar_u,modelFluxIvar_g,modelFluxIvar_r,modelFluxIvar_i,modelFluxIvar_z
692,1237645941296989061,51078,61.90283199353949,-1.2301068212231,0.827224,0.083935,0.208256,0.47980559999999994,0.7448795,1.710019,3.072099,14.940999999999999,55.69624,26.942629999999998,11.85668,0.8649764000000001
693,1237645941297053958,51078,62.1042205604558,-1.1001986043026,0.873323,0.12573800000000002,0.1258823,-0.03516616,-0.007044899,2.150163,0.5849552,11.57297,44.153259999999996,20.59614,8.586712,0.6952204000000001
694,1237645941297054234,51078,62.115605144634294,-1.19052770810295,0.24754400000000001,0.033716,0.527713,3.2234,12.165989999999999,20.51076,29.53642,17.32324,50.9015,19.27615,8.624647,0.7766218
695,1237645941297054273,51078,62.1383689368425,-1.18324885173613,0.454937,0.06291000000000001,0.2997373,1.300188,5.152845,10.52351,15.901470000000002,12.34142,41.93142,17.656489999999998,7.705500999999999,0.6356619000000001
696,1237645941297054549,51078,62.0416011196967,-1.08621063549346,0.527717,0.138321,-0.4419101,0.45792150000000004,0.9902798,3.572312,1.9158240000000002,15.45817,55.01399,26.252,11.15868,0.9142256999999999
699,1237645941297119644,51078,62.2922326444242,-1.15015401205866,0.208959,0.066351,4.125708,9.067924,14.674439999999999,19.33735,29.204179999999997,2.268643,7.262621,3.499492,1.646516,0.12550989999999998
700,1237645941297119956,51078,62.2067089000793,-1.2428257518192098,0.42975,0.05753200000000001,0.23656190000000002,0.12044020000000001,1.667268,2.814868,5.030602,12.55943,43.88345,18.952579999999998,8.269368,0.6521335
701,1237645941297120091,51078,62.1645709995323,-1.2233596562691003,0.477926,0.105995,0.46367290000000005,0.1556632,0.6635039,1.704939,1.165111,18.670360000000002,68.56648,30.46653,12.961730000000001,1.0283639999999998
702,1237645941296726617,51078,61.2569321632172,-1.13444497217887,0.511339,0.177544,-0.1547907,0.5289974000000001,0.9940559000000001,2.0985259999999997,1.862801,20.84488,70.71795,36.801320000000004,16.14682,1.219822
703,1237645941296726709,51078,61.3505657629581,-1.20356398999735,0.48613900000000004,0.183176,-0.05177885,0.8168564,2.065171,3.910403,6.701159,14.7215,46.85253,23.1076,10.39663,0.7403208
704,1237645941296726760,51078,61.3886058493814,-1.2229718579025,0.485984,0.117878,0.06915375,0.5123823000000001,1.6917,2.97903,4.143674,15.52961,50.67812,24.6475,11.67565,0.8087065999999999
705,1237645941296726887,51078,61.3852546312561,-1.22849952737585,0.563767,0.128229,0.2473833,0.09194661,1.085906,2.072689,0.816606,9.614614999999999,31.809929999999998,14.89301,6.195062999999999,0.5187559
706,1237645941296791926,51078,61.40786761406999,-1.21689331785314,0.36377,0.06323200000000001,0.7203914,1.7736009999999998,8.321503,13.83438,21.31641,14.903620000000002,45.8763,19.33259,8.807363,0.6894515
707,1237645941296791963,51078,61.4346944695012,-1.1147281589277098,0.47184799999999993,0.055799,0.09156339999999999,0.6043856,2.809079,6.418826999999999,10.08127,20.60655,69.34574,33.54909,13.90485,1.0658889999999999
708,1237645941296791992,51078,61.4543937262312,-1.0584754598114499,0.37987,0.113829,0.24960010000000002,1.180731,3.5460839999999996,5.768379,7.593539,14.074060000000001,44.92711,21.07656,9.766932,0.760761
709,1237645941296792060,51078,61.499694289865104,-1.16945986221073,0.44974899999999995,0.11100299999999999,0.1402358,0.7122444,2.069123,3.1947200000000002,5.361548,17.89882,58.87815,28.103640000000002,12.59792,0.9037263000000001
710,1237645941296792087,51078,61.521906616083896,-1.12287238521445,0.376386,0.106431,1.237529,1.260199,3.277802,3.8727440000000004,7.079173,12.02477,45.26014,21.843729999999997,9.894349,0.7073823
711,1237645941296792119,51078,61.54251703307921,-1.0613090278161,0.25304499999999996,0.06043200000000001,-0.05382822,1.946077,7.341763,12.58185,18.81495,19.645129999999998,60.9185,25.26345,11.04113,0.8861515999999999
712,1237645941296792138,51078,61.396498940414496,-1.2348575832583,0.327167,0.140343,0.2173121,0.3788017,1.438533,3.03272,1.465819,21.39724,67.88299,33.39125,14.69319,1.069826
713,1237645941296792204,51078,61.4346618015662,-1.08374629362792,0.5009520000000001,0.041542,0.1028309,0.5391991,3.30691,8.267483,11.23991,4.518287,15.43431,7.298404,3.208436,0.24624410000000002
714,1237645941296792272,51078,61.466208951632396,-1.22307578355918,0.297742,0.104531,0.610142,0.41187299999999993,0.9291127,0.37923870000000004,-0.05558341,19.7395,67.58346999999999,34.164640000000006,15.98792,1.074125
715,1237645941296792275,51078,61.4690823883011,-1.19242258094093,0.338064,0.109329,-0.4009032,0.47150990000000004,1.545591,1.927617,2.302794,20.64769,62.13991,29.847240000000003,13.64972,0.9925761999999999
716,1237645941296792414,51078,61.5382609225799,-1.2155604678216299,0.495618,0.045281,-0.1973024,0.1274479,1.391442,4.346117,4.589621,12.88821,44.12489,19.18955,8.495297,0.6431273000000001
718,1237645941296792502,51078,61.4860300502429,-1.05450186911957,0.709587,0.072201,0.10957750000000001,0.1355534,0.5708812,1.7613509999999999,1.653141,17.73481,64.12176,32.85447,13.756879999999999,1.0079040000000001
719,1237645941296857148,51078,61.597801347423,-1.18389900479754,0.312273,0.044722000000000005,0.26674559999999997,3.080326,16.005589999999998,29.613570000000003,34.143809999999995,16.09625,45.659859999999995,15.55965,6.360765,0.6350091999999999
720,1237645941296857502,51078,61.5458761893472,-1.1343131910034099,0.623933,0.122787,0.6630803000000001,0.7438276,1.550028,2.9136599999999997,2.418166,20.64988,74.08305,36.24929,15.769120000000001,1.1641110000000001
721,1237645941296857519,51078,61.5558640321187,-1.16357734164305,0.270359,0.063652,0.8512950999999999,3.676975,11.099260000000001,17.03285,26.35462,10.33226,31.29161,13.75226,6.331867,0.49625749999999996
722,1237645941296857566,51078,61.5999340670478,-1.11303914540312,0.320496,0.083994,0.1993983,0.6961845,1.657571,1.9569580000000002,2.843807,14.403410000000001,49.112629999999996,24.2306,10.671439999999999,0.751869
723,1237645941296857707,51078,61.6872241625385,-1.19422312287544,0.301055,0.110769,0.5290475,1.4363290000000002,2.8944330000000003,3.53375,2.67981,18.53119,61.17033000000001,29.5036,13.72114,0.9856299999999999
724,1237645941296857722,51078,61.69336037795299,-1.08556898545605,0.181823,0.123644,0.05228438,2.552337,5.202807,8.121995,10.17353,7.900537,23.69395,11.55067,5.3542190000000005,0.4191863
725,1237645941296857795,51078,61.568599477656406,-1.07523752740158,0.42593000000000003,0.08354400000000001,0.01919426,0.30181529999999995,1.033735,1.384588,2.6619,18.67088,67.07635,32.30011,14.491610000000001,1.018817
726,1237645941296857841,51078,61.5868841532952,-1.1339188505168,0.058915999999999996,0.09946,0.4186077,0.02452643,3.015918,1.777671,2.0531029999999997,4.434732,15.695039999999999,7.337159,3.448783,0.2475276
727,1237645941296857865,51078,61.6003544778298,-1.23689128983183,0.056157000000000006,0.12719,-0.2582509,0.7345315,1.862669,3.068813,1.486904,7.001668,23.448729999999998,10.93192,5.007322,0.37104990000000004
